-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2001 through 01/01/2023 
Location: Latitude  24.87   Longitude 67.03 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 53.05 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
CLRSKY_SFC_SW_DWN       CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_KT               CERES SYN1deg All Sky Insolation Clearness Index (dimensionless) 
ALLSKY_SFC_LW_DWN       CERES SYN1deg All Sky Surface Longwave Downward Irradiance (W/m^2) 
ALLSKY_SFC_PAR_TOT      CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
CLRSKY_SFC_PAR_TOT      CERES SYN1deg Clear Sky Surface PAR Total (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS                      MERRA-2 Earth Skin Temperature (C) 
T2M_RANGE               MERRA-2 Temperature at 2 Meters Range (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
PS                      MERRA-2 Surface Pressure (kPa) 
WS10M_RANGE             MERRA-2 Wind Speed at 10 Meters Range (m/s) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
WS50M_RANGE             MERRA-2 Wind Speed at 50 Meters Range (m/s) 
WD50M                   MERRA-2 Wind Direction at 50 Meters (Degrees) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UV_INDEX,T2MDEW,T2MWET,TS,T2M_RANGE,QV2M,RH2M,PRECTOTCORR,PS,WS10M_RANGE,WD10M,WS50M_RANGE,WD50M
2005,3,29,6.55,6.68,0.66,365.29,118.78,121.03,1.92,13.58,19.46,26.6,11.78,10.5,58.0,0.0,100.32,3.16,280.31,4.09,281.06
2005,3,30,6.94,7.05,0.7,349.91,123.26,125.11,-999.0,6.87,16.35,26.58,13.45,7.14,38.75,0.0,100.43,5.7,197.94,6.7,198.88
2005,3,31,7.08,7.17,0.71,350.96,124.04,125.64,1.94,6.3,16.01,26.69,12.8,7.08,37.75,0.0,100.55,2.05,163.69,4.09,163.19
2005,4,1,7.28,7.34,0.73,348.23,130.47,131.42,2.37,13.14,19.2,26.73,12.04,10.44,56.31,0.0,100.45,2.2,281.38,3.17,282.06
2005,4,2,7.24,7.31,0.72,358.95,132.13,133.3,2.43,16.89,21.49,27.81,12.44,12.82,66.31,0.0,100.48,1.79,275.0,3.16,275.88
2005,4,3,7.2,7.26,0.72,366.7,131.14,132.19,2.39,15.71,21.44,28.73,13.2,11.96,59.06,0.0,100.58,4.19,287.94,5.32,288.88
2005,4,4,7.25,7.31,0.72,362.16,130.73,131.8,2.38,13.56,20.68,28.79,13.23,10.74,51.75,0.0,100.49,2.88,284.88,3.81,285.81
2005,4,5,7.35,7.42,0.73,355.27,131.64,132.8,2.41,16.55,21.83,28.15,11.96,13.0,64.06,0.0,100.36,4.11,263.5,5.16,264.12
2005,4,6,7.2,7.29,0.71,373.29,133.96,135.52,2.41,20.08,23.3,27.47,9.73,15.08,72.62,0.0,99.98,4.38,243.12,4.3,244.0
2005,4,7,5.5,5.88,0.54,396.68,98.48,104.72,-999.0,8.08,17.2,26.76,11.29,7.57,37.38,0.0,99.94,2.57,302.12,2.77,303.44
2005,4,8,6.95,7.11,0.68,351.21,125.02,127.31,2.07,7.37,15.63,25.1,10.55,7.02,39.81,0.0,100.29,4.43,292.31,5.12,292.94
2005,4,9,7.36,7.55,0.72,341.99,130.91,133.48,2.24,3.49,13.83,25.08,12.18,5.68,31.75,0.0,100.55,2.12,313.44,2.54,314.81
2005,4,10,7.52,7.71,0.73,341.55,133.09,135.57,2.21,2.4,13.3,25.98,13.89,5.13,29.81,0.0,100.64,4.72,225.69,7.43,226.06
2005,4,11,7.24,7.36,0.7,347.34,128.26,129.77,2.12,6.15,15.79,26.96,13.3,6.71,37.12,0.0,100.7,3.06,189.44,4.84,189.0
2005,4,12,7.16,7.27,0.7,351.1,126.3,127.63,2.14,7.8,17.1,27.9,13.91,7.57,40.0,0.0,100.68,4.01,210.0,6.33,223.88
2005,4,13,7.2,7.3,0.7,360.26,129.9,131.11,2.25,15.94,21.15,27.99,12.03,11.96,59.81,0.0,100.65,2.68,275.31,3.25,276.38
2005,4,14,7.02,7.13,0.67,386.76,132.29,133.95,2.17,19.73,23.44,28.96,10.27,14.65,69.19,0.0,100.61,2.52,262.12,3.02,263.62
2005,4,15,7.14,7.23,0.69,378.41,132.38,133.6,2.16,15.23,21.73,29.6,12.52,12.02,57.12,0.0,100.59,3.46,255.69,5.01,258.06
2005,4,16,7.48,7.58,0.71,371.41,137.74,139.09,2.4,16.89,22.4,29.39,12.74,13.18,62.75,0.0,100.58,3.7,275.88,4.23,277.75
2005,4,17,7.38,7.56,0.7,378.23,136.24,138.89,2.35,18.93,23.17,28.88,11.02,14.22,67.25,0.0,100.58,3.28,256.06,3.26,257.44
2005,4,18,7.82,7.88,0.74,367.24,145.01,145.66,2.48,19.13,22.9,28.44,11.02,14.28,69.88,0.0,100.53,3.03,266.81,2.5,268.12
2005,4,19,7.31,7.57,0.7,394.03,137.87,141.67,2.36,21.55,24.3,28.84,9.75,16.24,75.62,0.0,100.56,2.82,253.62,3.41,254.69
2005,4,20,6.75,7.23,0.64,409.59,128.13,136.02,2.16,22.98,25.51,29.24,9.12,17.76,77.88,0.0,100.53,2.51,244.06,2.82,245.06
2005,4,21,5.77,6.84,0.55,415.52,110.85,128.95,1.85,23.2,25.53,28.34,6.34,18.01,78.44,0.0,100.4,2.58,244.0,2.1,245.12
2005,4,22,6.35,6.89,0.6,414.68,121.94,130.8,2.0,23.4,25.43,27.96,4.84,18.13,79.62,0.0,100.22,2.32,250.56,3.16,251.38
2005,4,23,6.81,6.98,0.64,408.12,131.67,134.14,2.15,21.97,25.05,29.48,8.49,16.72,72.44,0.0,100.23,4.11,243.81,4.56,245.0
2005,4,24,6.9,7.07,0.65,407.59,132.82,135.14,2.24,21.47,24.37,28.37,6.32,16.17,72.75,0.0,100.25,3.51,220.12,4.04,221.25
2005,4,25,6.96,7.15,0.65,404.5,133.75,136.29,2.1,21.93,24.81,29.33,8.07,16.72,74.31,0.0,100.15,4.07,243.81,4.27,244.69
2005,4,26,6.99,7.19,0.66,400.76,133.63,136.45,2.16,22.39,25.27,29.91,8.83,17.33,75.44,0.0,100.11,2.94,248.44,2.78,249.56
2005,4,27,7.36,7.5,0.69,394.76,140.91,142.55,2.52,23.52,25.86,29.72,8.38,18.43,78.62,0.0,99.99,4.21,239.56,4.16,240.5
2005,4,28,6.78,7.12,0.63,410.83,131.71,136.82,2.27,23.69,25.98,29.49,7.51,18.55,78.69,0.12,99.92,4.87,233.75,5.08,234.5
2005,4,29,6.81,6.96,0.63,408.72,130.2,131.93,2.07,23.38,25.72,29.4,7.41,18.25,78.56,0.09,99.84,4.98,242.38,4.16,243.75
2005,4,30,6.87,7.07,0.64,409.52,131.85,134.24,2.2,23.05,25.71,29.97,8.21,17.94,76.12,0.0,99.79,4.39,248.5,4.21,249.81
2005,5,1,7.35,7.43,0.68,402.24,141.44,142.07,2.39,22.92,25.75,29.8,8.47,17.82,75.06,0.0,99.95,5.73,247.31,6.01,248.5
2005,5,2,7.02,7.2,0.65,408.34,134.6,136.86,2.2,23.05,25.57,29.39,5.92,17.88,76.44,0.22,100.07,3.85,240.12,3.84,241.31
2005,5,3,7.18,7.4,0.66,412.18,139.72,142.56,2.52,23.15,25.51,29.33,5.92,17.94,77.25,0.2,100.02,4.52,240.44,4.59,240.88
2005,5,4,7.08,7.24,0.65,408.8,137.7,139.71,2.33,21.55,25.13,31.19,7.9,16.3,67.56,0.01,100.03,3.25,253.38,3.93,255.12
2005,5,5,7.3,7.42,0.67,402.92,140.3,141.47,2.52,21.69,25.01,30.51,8.16,16.48,69.94,0.0,100.02,3.66,262.81,3.3,263.56
2005,5,6,6.82,7.13,0.62,419.5,132.98,137.25,2.4,24.01,26.2,30.02,5.21,18.86,78.31,0.0,99.82,3.92,244.56,3.09,245.5
2005,5,7,6.91,7.32,0.63,418.34,134.2,140.27,2.44,23.0,25.91,30.24,7.41,17.94,73.62,0.0,99.82,3.1,247.38,2.56,248.19
2005,5,8,7.4,7.59,0.68,394.93,139.81,142.0,2.45,20.37,23.99,29.7,7.42,15.2,67.38,0.0,100.0,3.07,254.88,3.09,255.56
2005,5,9,6.98,7.1,0.64,399.37,129.27,130.47,1.98,16.37,22.65,30.71,11.48,12.51,54.81,0.0,100.09,4.71,242.31,5.55,241.12
2005,5,10,7.73,7.86,0.7,385.54,143.75,144.96,2.45,17.53,23.0,30.14,11.79,13.67,61.62,0.0,99.97,3.01,255.31,3.92,256.88
2005,5,11,7.82,7.92,0.71,384.07,146.25,147.11,2.62,21.12,24.83,30.12,9.64,16.3,70.0,0.0,99.91,4.77,245.38,4.26,246.38
2005,5,12,7.55,7.66,0.69,394.28,142.84,143.84,2.48,22.37,25.34,30.0,8.17,17.15,73.0,0.0,99.98,3.59,246.81,2.75,247.75
2005,5,13,7.44,7.57,0.68,403.86,140.48,141.84,2.5,22.1,25.37,30.37,8.72,17.03,71.75,0.0,99.9,3.07,248.75,3.52,250.0
2005,5,14,7.43,7.6,0.68,401.96,139.85,141.83,2.46,20.77,25.05,31.11,11.59,16.42,68.56,0.0,99.83,3.67,246.75,4.52,247.81
2005,5,15,7.47,7.57,0.68,402.11,141.91,142.7,2.55,23.2,26.28,31.03,8.93,18.25,73.94,0.0,99.9,4.77,252.69,4.62,253.81
2005,5,16,7.54,7.65,0.69,397.35,142.86,143.96,2.55,23.71,26.41,30.73,7.02,18.68,75.62,0.0,100.05,3.23,253.19,2.62,254.0
2005,5,17,7.2,7.45,0.66,414.52,139.14,142.38,2.55,24.47,26.77,31.03,6.78,19.41,77.88,0.0,99.95,3.14,239.69,2.88,240.44
2005,5,18,7.25,7.44,0.66,417.59,139.09,141.44,2.41,24.4,27.28,32.14,9.21,19.59,75.5,0.0,99.83,2.8,238.38,3.42,239.81
2005,5,19,7.29,7.5,0.66,409.58,139.28,142.05,2.46,24.87,27.43,31.75,8.63,20.02,77.25,0.0,99.87,3.88,236.31,3.59,237.56
2005,5,20,7.28,7.43,0.66,409.25,139.16,140.84,2.46,24.35,27.4,32.3,9.43,19.59,74.44,0.0,99.76,3.66,242.56,4.27,243.75
2005,5,21,7.34,7.55,0.66,412.83,140.77,143.41,2.48,25.48,27.32,30.12,4.71,20.63,81.56,0.0,99.77,2.92,242.19,2.14,242.94
2005,5,22,7.09,7.37,0.64,423.98,137.96,141.86,2.37,24.76,27.02,30.65,5.82,19.78,78.19,0.0,99.85,3.27,251.06,2.91,251.94
2005,5,23,6.92,7.2,0.62,422.28,134.91,139.1,2.28,24.44,27.03,31.03,8.03,19.47,76.38,0.0,99.96,3.27,250.81,3.17,252.25
2005,5,24,7.31,7.5,0.66,413.98,141.01,143.4,2.45,23.77,26.62,31.17,7.15,18.8,74.62,0.0,100.0,2.67,243.19,1.92,244.19
2005,5,25,7.29,7.52,0.66,407.91,139.12,142.22,2.36,23.66,26.41,30.75,6.92,18.62,75.19,0.0,99.92,2.79,239.75,2.25,240.56
2005,5,26,7.38,7.56,0.66,414.62,141.86,143.95,2.38,21.87,26.39,32.81,11.44,17.46,66.94,0.05,99.86,6.27,245.62,6.88,247.12
2005,5,27,7.37,7.56,0.66,415.96,142.23,144.45,2.39,23.4,26.84,32.08,9.05,18.43,70.94,0.05,99.98,3.97,249.25,4.02,250.31
2005,5,28,7.08,7.48,0.63,422.62,137.34,143.45,2.4,23.09,26.71,32.36,8.58,18.07,69.19,0.21,100.0,4.31,246.5,3.98,247.19
2005,5,29,7.35,7.53,0.66,421.5,143.27,145.35,2.48,23.15,26.62,32.23,6.71,17.94,68.44,0.73,100.01,5.27,246.88,5.82,247.5
2005,5,30,7.49,7.62,0.67,414.01,144.73,145.99,2.5,23.94,26.77,31.4,6.3,18.8,73.56,0.54,100.03,3.3,251.81,2.46,252.75
2005,5,31,7.48,7.57,0.67,414.43,144.05,144.7,2.48,23.95,27.15,32.25,7.97,18.86,71.38,0.91,99.93,3.2,246.06,2.33,247.0
2005,6,1,7.5,7.62,0.67,413.57,144.16,145.22,2.48,23.96,27.09,31.94,6.62,18.86,71.06,0.0,99.79,2.34,246.44,2.03,247.31
2005,6,2,7.44,7.65,0.66,417.41,144.31,147.09,2.59,24.66,27.16,31.42,5.94,19.65,75.69,0.11,99.66,2.76,244.38,2.17,245.31
2005,6,3,7.33,7.66,0.66,423.09,143.59,148.31,2.62,24.97,27.5,31.82,6.55,20.08,75.94,0.0,99.63,1.52,249.5,1.74,250.75
2005,6,4,7.66,7.83,0.69,416.05,148.38,150.42,2.66,24.8,27.44,31.63,6.86,19.96,75.56,0.0,99.46,4.02,251.69,4.2,252.88
2005,6,5,7.79,7.91,0.7,416.71,150.7,151.77,2.8,25.36,27.81,31.84,6.88,20.63,77.06,0.0,99.32,2.93,247.06,3.16,248.12
2005,6,6,7.07,7.45,0.63,423.24,133.14,138.5,2.36,22.01,26.74,32.71,11.06,17.76,65.12,0.0,99.13,5.09,243.56,6.12,245.81
2005,6,7,6.98,7.17,0.62,426.98,131.95,134.33,2.15,22.29,26.95,33.77,12.79,17.7,64.56,0.0,99.16,5.7,254.94,6.69,256.38
2005,6,8,7.09,7.3,0.63,422.26,134.17,136.84,2.2,24.53,27.14,32.07,7.42,19.65,76.0,0.0,99.34,2.54,225.62,2.74,226.12
2005,6,9,7.02,7.42,0.62,424.56,135.76,141.67,2.3,24.51,26.79,31.23,4.94,19.47,77.19,0.0,99.42,2.89,239.94,2.5,240.44
2005,6,10,7.19,7.34,0.64,417.77,139.2,140.82,2.41,24.18,26.62,31.02,5.09,19.1,75.81,0.78,99.54,2.2,241.44,2.23,242.0
2005,6,11,7.2,7.35,0.64,417.38,139.97,141.73,2.48,24.33,26.6,30.49,4.8,19.23,77.25,3.17,99.68,2.17,244.56,2.0,245.12
2005,6,12,7.49,7.69,0.67,423.48,146.98,149.41,2.69,24.32,26.76,30.71,5.11,19.23,75.94,0.01,99.64,4.62,245.25,4.9,245.81
2005,6,13,7.44,7.52,0.66,422.02,146.27,146.93,2.54,24.04,26.83,30.99,5.73,18.98,73.62,0.01,99.61,3.93,246.88,3.88,247.56
2005,6,14,7.62,7.71,0.68,421.27,148.93,149.56,2.59,24.23,27.25,31.95,6.8,19.23,72.38,0.0,99.75,3.33,252.38,3.39,253.44
2005,6,15,7.63,7.73,0.68,418.54,148.25,149.12,2.64,23.55,26.74,31.95,6.99,18.49,70.94,0.0,99.66,2.82,252.94,1.98,253.81
2005,6,16,7.27,7.59,0.65,424.88,141.45,145.7,2.49,24.42,26.94,31.58,5.98,19.41,75.5,0.0,99.43,3.1,239.44,2.55,240.31
2005,6,17,7.28,7.52,0.65,426.73,141.48,144.73,2.49,24.17,27.07,32.26,6.39,19.17,72.56,0.0,99.31,1.21,237.12,1.09,237.5
2005,6,18,7.16,7.49,0.64,428.68,139.23,143.74,2.42,24.37,27.19,32.19,5.23,19.41,72.69,0.0,99.13,3.42,238.88,3.31,239.12
2005,6,19,7.17,7.43,0.64,431.05,139.99,143.57,2.47,23.98,27.31,33.18,5.91,18.98,68.81,0.0,99.09,1.59,243.94,1.92,244.31
2005,6,20,7.22,7.4,0.65,444.7,142.45,144.76,2.56,24.59,27.88,34.08,7.94,19.71,69.62,0.0,99.09,3.62,252.56,4.31,252.94
2005,6,21,6.76,7.34,0.6,450.05,135.55,145.34,2.63,24.43,28.83,35.32,9.39,19.59,62.12,0.44,99.05,2.68,234.62,2.95,236.12
2005,6,22,6.88,7.56,0.62,454.87,138.74,150.31,2.75,25.04,29.75,35.94,9.02,20.26,60.19,0.22,99.18,4.67,168.31,5.46,167.5
2005,6,23,7.47,7.66,0.67,447.54,149.83,152.45,2.89,25.67,29.47,35.53,7.45,21.0,65.94,0.03,99.16,3.98,177.06,4.47,174.31
2005,6,24,6.72,7.46,0.6,447.1,134.39,146.69,2.5,25.73,28.75,34.26,5.59,21.06,71.38,0.01,99.08,4.33,234.94,4.77,235.56
2005,6,25,6.66,7.38,0.59,451.89,133.26,144.99,2.44,25.19,28.33,34.13,5.65,20.39,70.06,0.02,99.05,1.09,229.62,1.55,229.75
2005,6,26,5.41,6.42,0.48,450.24,107.25,124.31,1.72,25.5,28.31,33.23,4.99,20.75,72.62,0.35,99.12,2.98,236.0,3.35,236.25
2005,6,27,5.32,6.49,0.48,452.78,105.06,124.94,1.74,25.49,28.3,33.15,4.95,20.75,72.62,0.55,99.02,2.23,238.12,1.93,238.31
2005,6,28,4.74,5.77,0.42,446.77,92.75,109.67,1.36,25.04,28.05,33.06,4.7,20.2,70.81,0.15,98.93,2.03,234.88,2.48,234.94
2005,6,29,5.69,6.59,0.51,447.88,113.28,128.78,1.93,25.18,28.42,33.9,5.27,20.39,69.06,0.08,98.92,1.83,231.94,2.27,231.81
2005,6,30,5.46,6.15,0.49,449.8,108.46,120.1,1.73,26.02,28.62,32.74,4.45,21.42,74.31,0.09,98.98,3.23,239.62,3.59,239.94
2005,7,1,4.42,6.04,0.4,453.97,90.05,118.0,1.43,25.62,28.05,31.82,3.15,20.94,75.62,0.04,99.06,2.6,238.12,2.7,238.5
2005,7,2,3.61,6.74,0.32,450.05,76.59,133.5,1.34,25.03,27.64,31.87,4.18,20.14,74.0,0.39,99.14,1.48,241.19,1.81,241.62
2005,7,3,4.98,6.61,0.45,448.49,100.74,129.65,1.7,24.55,27.44,32.14,4.48,19.59,71.88,0.22,99.13,2.41,234.25,3.12,234.56
2005,7,4,4.66,6.6,0.42,451.66,95.59,129.74,1.59,24.87,27.68,32.61,5.16,20.02,72.5,0.0,98.99,2.75,235.19,2.78,235.81
2005,7,5,5.53,6.6,0.5,443.66,109.68,128.0,1.73,24.59,27.56,32.7,5.48,19.71,71.75,0.0,98.99,2.38,234.94,2.35,235.69
2005,7,6,5.87,6.73,0.53,442.51,115.99,130.45,1.95,24.73,27.42,32.32,4.88,19.78,73.56,0.0,99.3,2.18,239.44,1.95,240.06
2005,7,7,5.97,6.43,0.54,435.88,116.73,123.99,1.91,23.94,26.92,32.36,5.84,18.86,71.56,0.17,99.48,1.41,248.38,1.8,249.19
2005,7,8,6.14,6.72,0.55,432.41,120.3,129.64,1.99,23.33,26.55,32.33,5.83,18.19,69.56,0.14,99.48,2.53,246.0,2.33,246.81
2005,7,9,5.93,6.63,0.53,433.62,117.18,128.77,2.01,24.23,27.12,32.44,5.33,19.17,72.12,0.01,99.39,1.52,249.31,1.41,250.06
2005,7,10,5.85,6.68,0.52,441.19,116.92,131.12,2.05,24.26,27.24,32.42,4.94,19.23,71.31,0.05,99.35,1.37,244.69,1.83,245.12
2005,7,11,5.16,6.71,0.47,446.27,104.9,132.76,1.8,24.69,27.17,31.12,3.69,19.65,75.06,0.02,99.54,1.73,241.94,1.6,242.19
2005,7,12,5.32,6.69,0.48,446.45,108.6,131.88,2.02,24.76,27.52,32.2,4.44,19.78,72.88,0.37,99.55,2.13,246.75,1.82,247.06
2005,7,13,5.38,6.79,0.48,446.48,109.74,133.78,2.02,24.64,27.39,32.12,4.59,19.59,72.88,0.28,99.52,2.32,247.75,1.82,248.0
2005,7,14,6.63,6.88,0.6,436.56,132.95,136.47,2.4,24.15,27.03,32.15,4.28,18.98,71.62,0.14,99.65,1.27,247.44,0.91,247.69
2005,7,15,6.27,6.94,0.57,436.91,125.91,137.23,2.3,23.9,26.79,31.72,4.25,18.68,71.56,0.1,99.76,2.77,255.94,3.79,256.44
2005,7,16,5.77,6.87,0.52,439.92,116.59,135.41,2.18,23.92,26.72,31.38,4.24,18.74,72.25,0.26,99.63,2.35,253.06,2.7,253.62
2005,7,17,6.28,7.06,0.57,433.95,126.1,139.05,2.41,23.71,26.6,31.44,4.12,18.55,71.5,0.61,99.53,2.0,249.81,1.88,250.31
2005,7,18,5.56,7.03,0.51,439.65,112.8,139.12,2.12,23.94,26.71,31.29,4.38,18.8,72.56,0.11,99.61,1.49,246.5,1.13,246.88
2005,7,19,6.21,7.1,0.56,441.45,125.8,140.64,2.37,24.24,26.82,31.08,4.14,19.1,74.31,0.08,99.77,2.68,249.62,2.92,250.12
2005,7,20,5.75,7.1,0.52,443.55,116.73,139.66,2.22,23.89,26.4,30.62,3.9,18.74,74.69,0.36,99.54,2.23,249.69,2.21,250.25
2005,7,21,4.34,6.91,0.39,444.78,90.64,135.93,1.59,23.69,26.23,30.5,4.25,18.49,74.5,0.31,99.47,1.41,249.19,1.02,249.81
2005,7,22,5.5,7.05,0.5,439.98,111.16,137.45,2.09,23.6,26.19,30.6,4.67,18.43,74.06,0.03,99.39,1.43,248.19,1.09,248.75
2005,7,23,5.87,7.05,0.53,432.88,117.2,136.22,2.11,23.79,26.31,30.79,4.74,18.68,74.81,0.02,99.33,1.32,244.38,1.15,244.81
2005,7,24,6.01,7.08,0.55,438.71,120.55,138.19,2.28,24.15,26.56,30.82,4.88,19.04,75.69,0.01,99.43,1.52,247.25,1.39,247.75
2005,7,25,5.55,6.83,0.51,439.55,112.35,134.89,2.03,24.3,26.39,29.98,4.12,19.23,78.56,0.02,99.3,3.33,253.44,3.47,254.12
2005,7,26,5.33,6.86,0.48,441.64,107.39,133.22,1.95,23.93,26.31,30.62,4.98,18.86,76.12,0.01,99.17,2.43,248.38,2.38,249.06
2005,7,27,5.19,6.74,0.48,441.54,105.19,131.09,1.9,23.61,26.21,31.01,5.4,18.49,74.12,0.02,99.2,1.65,243.94,2.16,244.25
2005,7,28,4.75,6.04,0.44,435.59,95.05,116.27,1.63,23.85,26.26,30.42,4.18,18.74,75.62,0.12,99.26,2.25,254.25,2.75,254.81
2005,7,29,2.28,6.32,0.21,440.67,50.25,123.1,0.91,23.91,25.99,29.15,3.09,18.8,78.44,0.24,99.21,3.27,255.06,3.55,255.69
2005,7,30,4.34,6.87,0.4,442.88,90.02,135.32,1.69,24.26,26.3,29.69,3.82,19.23,79.12,0.51,99.17,1.15,244.88,1.41,245.38
2005,7,31,6.57,7.0,0.6,435.09,131.5,138.68,2.43,23.58,26.22,31.14,6.08,18.49,74.19,0.3,99.12,2.09,250.06,2.66,250.56
2005,8,1,5.6,6.82,0.52,434.41,112.67,133.75,2.09,23.78,26.15,30.61,5.08,18.68,76.12,0.06,99.1,1.14,251.75,1.19,252.19
2005,8,2,2.66,6.56,0.24,439.73,57.57,127.82,1.09,23.69,26.12,30.69,5.08,18.55,75.5,1.42,99.13,2.3,254.69,3.08,255.81
2005,8,3,6.25,6.73,0.58,441.2,124.71,132.41,2.38,24.39,26.73,30.75,5.64,19.41,76.81,0.19,99.19,2.25,255.12,2.5,255.88
2005,8,4,4.91,6.55,0.45,442.55,99.65,128.88,1.86,24.34,26.47,30.37,4.59,19.29,78.38,0.04,99.31,1.43,245.56,1.49,246.06
2005,8,5,5.54,6.7,0.52,442.44,111.38,131.61,2.1,23.98,26.2,30.27,4.7,18.86,77.31,0.02,99.25,3.2,244.69,3.16,245.19
2005,8,6,5.13,6.73,0.48,439.33,103.89,131.92,1.95,23.75,25.9,29.78,4.34,18.68,77.94,0.02,99.09,1.94,239.38,2.12,239.88
2005,8,7,3.95,6.76,0.37,447.04,82.09,131.07,1.53,23.58,25.8,29.87,4.77,18.49,77.25,0.4,98.92,2.37,230.62,2.52,230.94
2005,8,8,4.34,6.48,0.41,439.63,88.34,125.61,1.48,23.08,25.54,30.05,5.38,17.88,75.62,0.26,99.28,2.18,205.38,1.93,205.12
2005,8,9,5.38,6.31,0.5,432.31,106.23,121.79,1.76,22.74,25.34,30.08,5.74,17.46,74.31,0.04,99.63,3.24,213.62,3.16,213.5
2005,8,10,5.31,6.18,0.5,432.95,104.36,119.47,1.66,22.96,25.59,30.14,4.88,17.7,73.69,0.2,99.54,3.19,235.94,2.8,236.31
2005,8,11,5.0,6.54,0.47,440.31,101.3,128.17,1.81,23.26,25.94,30.5,5.01,18.07,73.5,0.33,99.42,1.49,241.56,1.38,241.88
2005,8,12,4.18,6.71,0.39,447.38,86.55,130.94,1.62,23.92,26.44,30.95,5.77,18.8,75.06,0.02,99.38,2.05,234.88,2.45,235.0
2005,8,13,3.87,6.25,0.37,446.87,79.11,121.08,1.34,23.79,26.5,31.48,6.31,18.62,73.62,0.01,99.48,3.12,236.69,3.04,236.75
2005,8,14,4.74,6.12,0.45,444.59,95.06,118.36,1.62,23.9,26.42,31.09,5.56,18.74,74.94,0.02,99.47,1.45,240.62,1.62,240.88
2005,8,15,3.43,6.46,0.32,445.64,71.78,125.57,1.33,23.55,26.19,30.9,5.62,18.43,74.0,0.28,99.29,1.7,232.88,1.54,233.19
2005,8,16,3.88,6.64,0.37,441.45,79.81,129.9,1.49,23.83,26.44,31.21,5.31,18.68,74.0,0.37,99.38,2.11,218.88,2.18,218.62
2005,8,17,4.53,6.64,0.43,438.27,91.0,129.17,1.65,23.85,26.37,30.8,4.92,18.68,74.62,0.02,99.51,3.69,225.31,3.98,225.75
2005,8,18,3.4,6.74,0.32,441.16,71.67,133.97,1.39,24.14,26.38,30.01,3.73,18.98,77.0,0.02,99.6,2.58,247.25,2.54,247.81
2005,8,19,4.01,6.71,0.38,441.65,82.51,133.22,-999.0,23.55,26.15,30.51,4.52,18.37,74.0,0.01,99.58,2.56,248.56,2.32,249.06
2005,8,20,5.0,6.5,0.48,433.23,98.56,125.28,1.7,22.69,25.82,30.69,5.25,17.4,69.69,0.0,99.54,1.61,245.12,1.19,245.69
2005,8,21,6.02,6.78,0.58,420.54,117.16,129.74,2.09,22.43,25.49,30.41,5.18,17.15,70.19,0.0,99.58,1.92,248.19,1.42,248.75
2005,8,22,5.8,6.91,0.55,425.66,113.53,133.22,2.05,22.58,25.48,30.34,4.91,17.27,71.38,0.0,99.74,1.77,244.19,1.53,244.75
2005,8,23,5.94,6.9,0.57,422.94,117.34,133.61,2.16,21.91,24.88,29.73,4.25,16.54,70.5,0.0,99.92,2.02,246.31,1.52,246.88
2005,8,24,5.86,6.93,0.56,422.49,116.7,134.87,2.2,22.16,24.87,29.05,4.47,16.78,72.94,0.04,99.9,3.39,250.88,3.29,251.5
2005,8,25,4.46,6.77,0.43,434.36,91.53,132.25,1.77,22.68,25.1,29.03,4.8,17.33,75.5,0.06,99.85,2.16,247.62,2.34,248.25
2005,8,26,3.27,6.77,0.31,442.02,69.15,132.45,1.37,22.69,25.06,29.02,4.9,17.33,76.06,0.41,99.9,3.28,246.0,3.17,246.56
2005,8,27,3.1,6.76,0.3,440.09,65.8,131.63,1.31,22.73,25.09,28.98,4.56,17.4,76.06,0.36,99.87,3.51,238.81,3.71,239.19
2005,8,28,5.13,6.81,0.5,435.29,102.95,132.07,1.95,22.83,25.47,29.98,6.36,17.52,73.94,0.09,99.91,2.3,228.81,2.3,228.88
2005,8,29,6.69,6.97,0.66,413.1,130.05,134.49,2.27,22.02,24.95,30.04,6.16,16.66,71.56,0.01,100.08,3.84,217.25,3.68,217.0
